date,journal_id/name,name,line_ids/account_id/code,line_ids/currency_id/name,line_ids/debit,line_ids/credit
2025-12-31 00:00:00,Opening Balance,/,600097,THB,261678.19,
2025-12-31 00:00:00,Opening Balance,/,600066,THB,2429082.46,
2025-12-31 00:00:00,Opening Balance,/,600071,THB,1300,
2025-12-31 00:00:00,Opening Balance,/,600056,THB,137,
2025-12-31 00:00:00,Opening Balance,/,600072,THB,71700,
2025-12-31 00:00:00,Opening Balance,/,600065,THB,5846.3,
2025-12-31 00:00:00,Opening Balance,/,600074,THB,1094570.4,
2025-12-31 00:00:00,Opening Balance,/,600075,THB,2794.2,
2025-12-31 00:00:00,Opening Balance,/,600102,THB,23026067.91,
2025-12-31 00:00:00,Opening Balance,/,600103,THB,7878410.18,
2025-12-31 00:00:00,Opening Balance,/,600104,THB,0.03,
2025-12-31 00:00:00,Opening Balance,/,600105,THB,12915.66,
2025-12-31 00:00:00,Opening Balance,/,600100,THB,77769.39,
2025-12-31 00:00:00,Opening Balance,/,600110,THB,,480.29
2025-12-31 00:00:00,Opening Balance,/,600023,THB,222612,
2025-12-31 00:00:00,Opening Balance,/,600113,THB,458183.33,
2025-12-31 00:00:00,Opening Balance,/,800001,THB,119601.83,
2025-12-31 00:00:00,Opening Balance,/,800002,THB,335562.18,
