default_code,name,category,bom_id,bom_code,bom_type
SM-PNF-CA-01001,{'en_US': 'ฝาเขียวแก้วแบน 3CC สำเร็จ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3499,BOM-030 d3,normal
SM-PNF-CA-02001,{'en_US': 'ฝาเขียวแก้วแบน 3CC กึ่งสำเร็จ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,3498,BOM-029-24 d3,normal
SM-PPK-TH-02001,{'en_US': 'ชิ้นส่วนยาดม PePex 2IN1 ตัวบน+ตัวกลาง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3799,,normal
SM-PPK-TH-02002,{'en_US': 'ชิ้นส่วนยาดม PePex 2IN1 ตัวล่าง+หลอดน้ำ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3801,,normal
SM-PPK-TH-03001,{'en_US': 'ชิ้นส่วนยาดม PePex 2IN1 ตัวบน พวงกุญแจสำเร็จ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3800,,normal
SM-PPK-TH-03002,{'en_US': 'ชิ้นส่วนยาดม PePex 2IN1 ตัวล่าง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3802,,normal
SM-PPR-TH-02001,{'en_US': 'ชิ้นส่วนยาดม PePex แดง ตัวบน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3785,,normal
SM-PPR-TH-02002,{'en_US': 'ชิ้นส่วนยาดม PePexแดง ตัวล่าง สำเร็จ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3786,,normal
SM-PPR-TH-02003,{'en_US': 'ชิ้นส่วนยาดม PePex แดง ตัวกลาง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3788,,normal
SM-PPR-TH-03002,{'en_US': 'ชิ้นส่วนยาดม PePexแดง ตัวล่าง กึ่งสำเร็จ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,3787,,normal
SM-PSK-IS-02001,{'en_US': 'ชิ้นส่วนยาดม MarkII Isarel ตัวบน+ตัวกลาง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3224,,normal
SM-PSK-IS-02002,{'en_US': 'ชิ้นส่วนยาดม MarkII Isarel ตัวล่าง+หลอดน้ำ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3225,,normal
SM-PSK-IS-03001,{'en_US': 'ชิ้นส่วนยาดม MarkII Isarel ตัวบน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3222,,normal
SM-PSK-IS-03002,{'en_US': 'ชิ้นส่วนยาดม MarkII Isarel ตัวล่าง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3223,,normal
SM-PSK-TH-02001,{'en_US': 'ชิ้นส่วนยาดม PS Key ตัวบน+ตัวกลาง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3094,,normal
SM-PSK-TH-02002,{'en_US': 'ชิ้นส่วนยาดม PS Key ตัวล่าง+หลอดน้ำ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3095,,normal
SM-PSK-TH-03001,{'en_US': 'ชิ้นส่วนยาดม PS Key ตัวบน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3092,,normal
SM-PSK-TH-03002,{'en_US': 'ชิ้นส่วนยาดม PS Key ตัวล่าง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3093,,normal
SM-PSS-DE-02001,{'en_US': 'ชิ้นส่วนยาดม PS ตัวบน+ตัวกลาง เยอรมัน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3052,,normal
SM-PSS-DE-02002,{'en_US': 'ชิ้นส่วนยาดม PS ตัวล่าง+หลอดน้ำ เยอรมัน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3053,,normal
SM-PSS-DE-03001,{'en_US': 'ชิ้นส่วนยาดม PS ตัวบน เยอรมัน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3050,,normal
SM-PSS-DE-03002,{'en_US': 'ชิ้นส่วนยาดม PS ตัวล่าง เยอรมัน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3051,,normal
SM-PSS-MY-02001,{'en_US': 'ชิ้นส่วนยาดม PS ตัวบน+ตัวกลาง มาเลเซีย'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3020,,normal
SM-PSS-MY-02002,{'en_US': 'ชิ้นส่วนยาดม PS ตัวล่าง+หลอดน้ำ มาเลเซีย'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3021,,normal
SM-PSS-MY-03001,{'en_US': 'ชิ้นส่วนยาดม PS ตัวบน มาเลเซีย'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3018,,normal
SM-PSS-MY-03002,{'en_US': 'ชิ้นส่วนยาดม PS ตัวล่าง มาเลเซีย'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),3019,,normal
SM-PSS-TH-02001,{'en_US': 'ชิ้นส่วนยาดม PS ตัวบน+ตัวกลาง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2966,BOM-014,normal
SM-PSS-TH-02002,{'en_US': 'ชิ้นส่วนยาดม PS ตัวล่าง+หลอดน้ำ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,2967,BOM-015,normal
SM-PSS-TH-03001,{'en_US': 'ชิ้นส่วนยาดม PS ตัวบน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),2964,BOM-012,normal
SM-PSS-TH-03002,{'en_US': 'ชิ้นส่วนยาดม PS ตัวล่าง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),2965,BOM-013,normal
