External ID,Vendor / External ID,Order Reference,Order Date,Currency / Name,Order Lines / External ID,Order Lines / Product / External ID,Order Lines / Description,Order Lines / Quantity,Order Lines / Unit Price,Order Lines / Expected Arrival
mig_po_PO2600102,__export__.res_partner_70517_8aa8d04a,PO2600102,,THB,mig_po_line_PO2600102_90,__export__.product_template_11623_43c763ab,Branded Content Ads.+ Facebook+ Tiktok,1.0,80000.0,
mig_po_PO2600102,__export__.res_partner_70517_8aa8d04a,PO2600102,,THB,mig_po_line_PO2600102_88,__export__.product_template_11623_43c763ab,Creative Content Production+ Hinl : Single Photo+ Open Collection : Animate+ 3 Lookbook Content : Animate- The Elite Style- FAB Style- Fun Style+ 4 Activity Content : Single Photo- Run Fresh Flow- Fresh Celebrate- Fresh Up Feel Alive- สไลด์สดชื่น สบายทั่วไทย+ 1 Activety Content : Short VDO- โป๊ยเซียนมหาสงกรานต์+ 4 Winner Announce Content : Single Photo- Run Fresh Flow- Fresh Celebrate- สไลด์สดชื่น สบายทั่วไทย- Fresh Up Feel Alive,1.0,120000.0,
mig_po_PO2600102,__export__.res_partner_70517_8aa8d04a,PO2600102,,THB,mig_po_line_PO2600102_94,__export__.product_template_11623_43c763ab,GRAND TOTAL (Inc. fees 10%),1.0,108000.0,
mig_po_PO2600102,__export__.res_partner_70517_8aa8d04a,PO2600102,,THB,mig_po_line_PO2600102_91,__export__.product_template_11623_43c763ab,KOL Content and Ads.+ Macro 3 KOLs (GQ x poysian act),1.0,360000.0,
mig_po_PO2600102,__export__.res_partner_70517_8aa8d04a,PO2600102,,THB,mig_po_line_PO2600102_87,__export__.product_template_11623_43c763ab,Online Media Communlc ationStrategy & Creative Idea+ Strategy Idea for campaign+ Creative Idea for campaign,1.0,140000.0,
mig_po_PO2600102,__export__.res_partner_70517_8aa8d04a,PO2600102,,THB,mig_po_line_PO2600102_89,__export__.product_template_11623_43c763ab,Songkran Content+ Songkran Activity 1 Content,1.0,40000.0,
mig_po_PO2600103,__export__.res_partner_70422_15b96f6c,PO2600103,,THB,mig_po_line_PO2600103_86,__export__.product_template_11623_43c763ab,"ค่าผลิต Mascot 1 คาแรคเตอร์ จำนวน 2 ตัวรายละเอียดดังนี้- เนื้อผ้าขนสัตว์- มีพัดลมข้างใน- เปลี่ยนแถบปอกกลางตัวและขาโดยตีนตุ๊กแก- น้ำหนักโครงเบา- ส่วนสูง (ทั้งตัว) 160 ซม. + ขาคนใส่ (หัวและตัวติดกัน)- ความกว้างของผ้าคาด 15 ซม.- ความยาวส่วนตัว 85 ซม.- ความกว้างแนวขวาง 70-75 ซม.หมายเหตุ : ค่าทำความสะอาด Mascot ในระหว่างการใช้งาน ครั้งละ 3,000 บาท (ราคานี้รวมเก็บรายละเอียดชิ้นงานให้หากมีปัญหาเล็กน้อย เช่น เก็บขอบ หรือ จุดที่ขาดให้)",1.0,125000.0,
mig_po_PO2600104,__export__.res_partner_70695_26d2cf24,PO2600104,,THB,mig_po_line_PO2600104_85,__export__.product_template_11623_43c763ab,1.ราคาค่าผลิต + ค่าขนส่ง เก้าอี้โรงพยาบาลอ่างทอง จ.อ่างทอง (จำนวน 100 ตัว) (แบบ Indoor)วัสดุ : ขึ้นรูปโครงสร้างโดยเหล็กกล่อง ขนาด 2 x 1 นิ้ว หนา 1.2 มิลลิเมตร- ฐานที่นั่งเป็นคอมโพสิต ขนาด 40 x 120 ซม. หนา 4 มิลลิเมตร- พนักพิงเป็นคอมโพสิต ขนาด 35 x 120 ซม. / หนา 3 มิลลิเมตร / เอียง 15 องศา- พนักพิงติดสติ๊กเกอร์ inkjet เคลือบด้าน ชนิด Outdoor ความละเอียด 1440 Dpi.- พ่นสีกันสนิม และพ่นสีอุตสาหกรรม ชนิด Outdoor สีเขียว- ใส่น็อตปรับระดับระยะเวลาการผลิต : 30 วันขนาด : กว้าง 120 cm. x สูง 80 cm. x ลึก 40 cm.หมายเหตุ : ราคาดังกล่าวจัดส่งเก้าอี้ จังหวัดละ 1 จุด เท่านั้น (ตัวอำเภอเมือง)                : ราคาดังกล่าวรวมค่าขนส่ง / ค่าแรงทีมงาน / ค่าน้ำมัน / เรียบร้อยแล้ว,100.0,3900.0,
mig_po_PO2600111,__export__.res_partner_71184_f6dddec3,PO2600111,,THB,mig_po_line_PO2600111_65,__export__.product_template_11623_43c763ab,ค่าบริการ - ขึ้นบล็อค 1 ครั้งต่อ 1 แบบ(งานพิเศษฝ่ายขาย),1.0,15000.0,
mig_po_PO2600115,__export__.res_partner_70696_ca719f2f,PO2600115,,THB,mig_po_line_PO2600115_57,__export__.product_template_11623_43c763ab,Preventive maintenanceModel : C11275L0415Serise : 1275*not inciude consumable,6.0,3500.0,
