po_no,vendor_ref,vendor_name,product_code,product_name,open_qty,unit_price,currency_src,delivery_date,reason
PO2500908,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,741,ยาดมPS สามัญ แผง3Lot No.     AA00126Mfg. Date 080126Exp. Date  080129,300.0,3.13,THB,,missing product; product missing in item master
PO2500920,560,"SDS International (Japan) Co., Ltd.",277,ฉลากHS PS สามัญ ตัวบน,42000000.0,0.34,JPB,,missing product; product missing in item master
PO2500920,560,"SDS International (Japan) Co., Ltd.",278,ฉลากHS PS สามัญ ตัวล่าง,39000000.0,0.34,JPB,,missing product; product missing in item master
PO2500920,560,"SDS International (Japan) Co., Ltd.",285,ฉลากHS PePex ตัวล่าง,1000000.0,0.62,JPB,,missing product; product missing in item master
PO2500937,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,711,000711 พิมเสนน้ำPS สำลีถาด1โหล,1800.0,1.05,THB,2026-01-08,missing product; product missing in item master
PO2500938,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,714,กล่องนอก RollOn 4x20 โหล (GMP-0014),50.0,22.6,THB,2026-01-07,missing product; product missing in item master
PO2500948,382,ห้างหุ้นส่วนสามัญนิติบุคคล เอ็งจิ้นแซเชียง,854,ยูคาลิปตัส Eucalyptus-New(120ถังx55kg),4950.0,661.36,THB,,missing product; product missing in item master
PO2500961,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,349,กล่องยาดมตราโป๊ยเซียน บรรจุ (4x6) 50 แพ็ค 100 โหล (GMP-0003),90.0,24.92,THB,2026-01-10,missing product; product missing in item master
PO2500961,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,783,กล่องพิมเสนน้ำ Roll On บรรจุ (6x1) 40 แพ็ค 20 โหล (GMP-0007),40.0,8.21,THB,2026-01-10,missing product; product missing in item master
PO2500967,335,บริษัท เพชรไทยเคมีภัณฑ์ จำกัด,530,การบูร (กล่อง) Camphor  DAB-8,8000.0,200.0,THB,,missing product; product missing in item master
PO2500968,437,บริษัท ไทยธานีเคมี จำกัด,530,การบูร Camphor Synthetic DAB-8,7000.0,201.0,THB,,missing product; product missing in item master
PO2500968,437,บริษัท ไทยธานีเคมี จำกัด,530,การบูร Camphor Synthetic DAB-8 (FLAKES),1000.0,206.0,THB,,missing product; product missing in item master
PO2600003,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,358,ยาดมPS สามัญ กล่อง 5 โหลLot No.     AA00726Mfg. Date 160226Exp. Date  160229,675.0,3.76,THB,2026-01-24,missing product; product missing in item master
PO2600003,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,741,ยาดมPS สามัญ แผง3Lot No.     AA00526Mfg. Date 020226Exp. Date  020229,1100.0,3.13,THB,2026-01-24,missing product; product missing in item master
PO2600003,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,741,ยาดมPS สามัญ แผง3Lot No.     AA00726Mfg. Date 160226Exp. Date  160229,400.0,3.13,THB,2026-01-24,missing product; product missing in item master
PO2600023,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,318,กล่องพิมเสนน้ำ บรรจุ (12x1) 30 แพ็ค 30 โหล (GMP-0012),20.0,8.84,THB,2026-01-26,missing product; product missing in item master
PO2600024,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,607,ยาดมPS ลัง 80 โหล สีขาว (GMP-0039),107.0,31.04,THB,2026-01-29,missing product; product missing in item master
PO2600024,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,782,กล่อง EXPORT MARKII KI (GMP-0033),43.0,37.3,THB,2026-01-29,missing product; product missing in item master
PO2600041,757,บริษัท ไทย ริจิด พลาสติกส์ จำกัด,109,"ด ฟอยด์ PVC ขนาด 18"",0.20mm",267.0,53.0,THB,,missing product; product missing in item master
PO2600064,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,377,000377 กล่อง 5 โหล-ยาดมPePex,900.0,5.05,THB,2026-02-20,missing product; product missing in item master
PO2600066,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,355,กล่องโป๊ยเซียน บรรจุ (2x6) 70 แพ็ค 7x10 โหล (GMP-0010) (แบบใหม่),1000.0,41.66,THB,2026-02-23,missing product; product missing in item master
PO2600068,380,บริษัท เอแอลเอส แลบอราทอรี กรุ๊ป (ประเทศไทย) จำกัด,900002,Sample Name1. (Solution) POY-SIAN BRAND MARK II INHALER Lot no. AA048252. (Solution) POY-SIAN BRAND MARK II INHALER Lot no. AA001263. (Solution) MARK II INHALER Lot no. BA001264. (Solution) PE-PEX 2 IN 1 INHALER Lot no. CB001265. (Filter plug) POY-SIAN BRAND MARK II INHALER Lot no. AA048256. (Filter plug) POY-SIAN BRAND MARK II INHALER Lot no. AA001267. (Filter plug) MARK II INHALER Lot no. BA001268. (Filter plug) PE-PEX 2 IN 1 INHALER Lot no. CB00126Service Requested1. Metals Testing : Method : In-house method  - Arsenic ราคา 546 บาท- Cadmium ราคา 546 บาท- Lead ราคา 546 บาท- Mercury ราคา 429 บาท,8.0,2067.0,THB,,missing product
PO2600068,380,บริษัท เอแอลเอส แลบอราทอรี กรุ๊ป (ประเทศไทย) จำกัด,900002,2. Microbiological Testing : Method BP 2021   - APC - BP-herbal (CFU/g) ราคา 273 บาท   - Clostridium spp. - BP- herbal (1g) ราคา 468 บาท   - Ps. aeruginosa - BP- herbal (1g) ราคา 390 บาท   - S. aureus - BP- herbal (1g) ราคา 429 บาท   - Yeast and Mold - BP- herbal (CFU/g) ราคา 273 บาทหมายเหตุ : ตัวอย่างเข้า ALS Lab วันที่ 21/01/2026,8.0,1833.0,THB,,missing product
PO2600077,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,1.0,2000000.0,THB,,missing vendor; missing product; product missing in item master
PO2600077,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,สนับสนุนกิจกรรม ปี 2569- สนับสนุนงาน สงกรานต์ฯ ปี 2569***รายละเอียดเพิ่มเติม***- พื่นที่จัดกิจกรรมและจำหน่ายสินค้าบริเวณ โซนโป๊ยเซียนสไลเดอร์ยักษ์- โต๊ะหน้าขาว จำนวน 4 ตัว และเก้าอี้ จำนวน 8 ตัว สำหรับวางสินค้าและทำกิจกรรม,1.0,3000000.0,THB,,missing vendor
PO2600081,954,บริษัท มาสทิป (ประเทศไทย) จำกัด,990018,39-810-120  THERMOCOUPLE,1.0,3510.0,THB,,missing vendor; missing product
PO2600081,954,บริษัท มาสทิป (ประเทศไทย) จำกัด,990018,39-800-086 MANIFOLD SURFACE T/C,1.0,3600.0,THB,,missing vendor; missing product
PO2600084,380,บริษัท เอแอลเอส แลบอราทอรี กรุ๊ป (ประเทศไทย) จำกัด,900002,Sample Name1. (Solution) PIM-SAEN BALM OIL POY-SIAN BRAND 5CCLot no. FB001262. (Solution) PIM-SAEN BALM OIL POY-SIAN BRAND 8CCLot no. FC001263. (Filter plug) PE-PEX  INHALER Lot no. CA00126Service Requested1. Metals Testing : Method : In-house method - Arsenic ราคา 546 บาท- Cadmium ราคา 546 บาท- Lead ราคา 546 บาท- Mercury ราคา 429 บาท,3.0,2067.0,THB,,missing product
PO2600084,380,บริษัท เอแอลเอส แลบอราทอรี กรุ๊ป (ประเทศไทย) จำกัด,900002,2. Microbiological Testing : Method BP 2021   - APC - BP-herbal (CFU/g) ราคา 273 บาท   - Clostridium spp. - BP- herbal (1g) ราคา 468 บาท   - Ps. aeruginosa - BP- herbal (1g) ราคา 390 บาท   - S. aureus - BP- herbal (1g) ราคา 429 บาท   - Yeast and Mold - BP- herbal (CFU/g) ราคา 273 บาทหมายเหตุ : ตัวอย่างเข้า ALS Lab วันที่ 30/01/2026,3.0,1833.0,THB,,missing product
PO2600086,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,325,(GMP-0024) พิมเสนPSขวดแก้วแบน3cc กล่อง 36 โหล,2000.0,10.75,THB,2026-02-26,missing product; product missing in item master
PO2600086,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,348,ยาดมPS กล่อง 100 โหล (GMP-0002),1000.0,22.8,THB,2026-02-26,missing product; product missing in item master
PO2600093,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,607,ยาดมPS ลัง 80 โหล สีขาว (GMP-0039),4000.0,31.04,THB,2026-02-25,missing product; product missing in item master
PO2600095,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,358,ยาดมPS สามัญ กล่อง 5 โหลLot No.     AA00926Mfg. Date 030326Exp. Date  030329,19500.0,3.76,THB,2026-02-28,missing product; product missing in item master
PO2600095,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,358,ยาดมPS สามัญ กล่อง 5 โหลLot No.     AA01026Mfg. Date 100326Exp. Date  100329,19500.0,3.76,THB,2026-02-28,missing product; product missing in item master
PO2600095,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,358,ยาดมPS สามัญ กล่อง 5 โหลLot No.     AA01126Mfg. Date 170326Exp. Date  170329,19500.0,3.76,THB,2026-02-28,missing product; product missing in item master
PO2600095,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,358,ยาดมPS สามัญ กล่อง 5 โหลLot No.     AA01226Mfg. Date 240326Exp. Date  240329,19500.0,3.76,THB,2026-02-28,missing product; product missing in item master
