product_variant_id,product_template_id,default_code,product_name,category,route_id,route_name
8611,8611,FG-PSS-DE-04005,"{""en_US"": ""ยาดมโป๊ยเซียนเหลือง เยอรมัน""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8612,8612,FG-PSS-DE-04006,"{""en_US"": ""ยาดมโป๊ยเซียนเขียว เยอรมัน""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8228,8228,FG-PSS-LA-01001,"{""en_US"": ""ยาดมโป๊ยเซียน(10x6) 5โหล ลาว""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8227,8227,FG-PSS-MM-01001,"{""en_US"": ""Poy-Sian Brand Mark II Inhaler  (Myanmar) 10*6 (5dz)\n( Each carton contains 20 units ) "", ""th_TH"": ""ยาดมโป๊ยเซียน(10x6) 5โหล พม่า""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8603,8603,FG-PSS-MM-02001,"{""en_US"": ""ยาดมโป๊ยเซียน 5โหล พม่า""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8604,8604,FG-PSS-MM-03002,"{""en_US"": ""ยาดมโป๊ยเซียน แผง พม่า""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8226,8226,FG-PSS-MY-01001,"{""en_US"": ""Poy-Sian Brand Mark II Inhaler  (Malaysia) 10*6 (5dz) MAL 20106012X ( Each carton contains 20 units ) "", ""th_TH"": ""ยาดมโป๊ยเซียน(10x6) 5โหล มาเลเซีย""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8595,8595,FG-PSS-MY-02001,"{""en_US"": ""ยาดมโป๊ยเซียน 5โหล มาเลเซีย""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8596,8596,FG-PSS-MY-03001,"{""en_US"": ""ยาดมโป๊ยเซียน แผง มาเลเซีย""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8597,8597,FG-PSS-MY-04001,"{""en_US"": ""ยาดมโป๊ยเซียนสีชมพูสะท้อนแสง มาเลเซีย""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8598,8598,FG-PSS-MY-04002,"{""en_US"": ""ยาดมโป๊ยเซียนสีม่วง มาเลเซีย""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8599,8599,FG-PSS-MY-04003,"{""en_US"": ""ยาดมโป๊ยเซียนชมพู มาเลเซีย""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8600,8600,FG-PSS-MY-04004,"{""en_US"": ""ยาดมโป๊ยเซียนฟ้า มาเลเซีย""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8601,8601,FG-PSS-MY-04005,"{""en_US"": ""ยาดมโป๊ยเซียนเหลือง มาเลเซีย""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8602,8602,FG-PSS-MY-04006,"{""en_US"": ""ยาดมโป๊ยเซียนเขียว มาเลเซีย""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8223,8223,FG-PSS-TH-01001,"{""en_US"": ""ยาดมโป๊ยเซียน (1x6) แผง"", ""th_TH"": ""ยาดมโป๊ยเซียน (1x6) แผง""}",All / FG / ยาดมตราโป๊ยเซียน,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
8215,8215,FG-PSS-TH-01002,"{""en_US"": ""Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)( Each carton contains 20 units )"", ""th_TH"": ""ยาดมโป๊ยเซียน (10x6) 5โหล""}",All / FG / ยาดมตราโป๊ยเซียน,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
8216,8216,FG-PSS-TH-01003,"{""en_US"": ""ยาดมโป๊ยเซียน (2x6) 70โหล ลังยาว""}",All / FG / ยาดมตราโป๊ยเซียน,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
8217,8217,FG-PSS-TH-01004,"{""en_US"": ""ยาดมโป๊ยเซียน (4x6) 100โหล 7-11""}",All / FG / ยาดมตราโป๊ยเซียน,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
8224,8224,FG-PSS-TH-01005,"{""en_US"": ""Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)\n( Each carton contains 16 units )"", ""th_TH"": ""ยาดมโป๊ยเซียน (10x6) 80โหล""}",All / FG / ยาดมตราโป๊ยเซียน,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
8230,8230,FG-PSS-TH-01006,"{""en_US"": ""ยาดมโป๊ยเซียน (4x6) 100โหล KP""}",All / FG / ยาดมตราโป๊ยเซียน,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
8379,8379,FG-PSS-TH-01006,"{""en_US"": ""ยาดมโป๊ยเซียน (1*1) หลอดเดี่ยว""}",All / FG / ยาดมตราโป๊ยเซียน,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
8214,8214,FG-PSS-TH-01007,"{""en_US"": ""ยาดมโป๊ยเซียน (10x6) 50+20โหล""}",All / FG / ยาดมตราโป๊ยเซียน,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
8213,8213,FG-PSS-TH-01008,"{""en_US"": ""ยาดมโป๊ยเซียน (10x6) 14กล่อง""}",All / FG / ยาดมตราโป๊ยเซียน,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
