Product ID,Product,Routes
8332,[PK-STK-PN-03001] ฉลากสติ๊กเกอร์ พิมเสนสำลี,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8337,[PK-STK-PN-03003] ฉลากสติ๊กเกอร์ พิมเสนสำลี พม่า,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8126,[PK-STK-PN-03002] ฉลากสติ๊กเกอร์ พิมเสนสำลี อินโดนีเซีย,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8331,[PK-STK-PN-01001] ฉลากสติ๊กเกอร์ พิมเสนแก้วแบน 3cc,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8338,[PK-STK-BM-01001] ฉลากสติ๊กเกอร์ ยาหม่องพญายอ 22g,"Auto Transfer RM (Packaging), Buy"
8252,[SM-MTS-XX-03001] ชิ้นส่วนยาดม MarkII 3สูตร ตัวบน,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8269,[SM-MTS-XX-02001] ชิ้นส่วนยาดม MarkII 3สูตร ตัวบน+ตัวกลาง,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8251,[SM-MTS-XX-03002] ชิ้นส่วนยาดม MarkII 3สูตร ตัวล่าง,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8328,[SM-MTS-XX-02002] ชิ้นส่วนยาดม MarkII 3สูตร ตัวล่าง+หลอดน้ำ,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8255,[SM-PSK-IS-03001] ชิ้นส่วนยาดม MarkII Isarel ตัวบน,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8256,[SM-PSK-IS-02001] ชิ้นส่วนยาดม MarkII Isarel ตัวบน+ตัวกลาง,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8253,[SM-PSK-IS-03002] ชิ้นส่วนยาดม MarkII Isarel ตัวล่าง,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8254,[SM-PSK-IS-02002] ชิ้นส่วนยาดม MarkII Isarel ตัวล่าง+หลอดน้ำ,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8261,[SM-MTS-JP-03001] ชิ้นส่วนยาดม MarkII NOSE MINT ตัวบน,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8262,[SM-MTS-JP-02001] ชิ้นส่วนยาดม MarkII NOSE MINT ตัวบน+ตัวกลาง,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8259,[SM-MTS-JP-03002] ชิ้นส่วนยาดม MarkII NOSE MINT ตัวล่าง,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8260,[SM-MTS-JP-02002] ชิ้นส่วนยาดม MarkII NOSE MINT ตัวล่าง+หลอดน้ำ,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8265,[SM-MTS-TW-03001] ชิ้นส่วนยาดม MarkII Taiwan ตัวบน,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8266,[SM-MTS-TW-02001] ชิ้นส่วนยาดม MarkII Taiwan ตัวบน+ตัวกลาง,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8263,[SM-MTS-TW-03002] ชิ้นส่วนยาดม MarkII Taiwan ตัวล่าง,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
